2023-10-23 10:27:25,259 | osnma.osnma_core.receiver_state     | INFO     | 
Start status COLD_START

2023-10-23 10:27:25,275 | osnma.cryptographic.dsm_pkr         | WARNING  | Cannot compute Padding length: Missing attribute NB_DP
2023-10-23 10:27:25,276 | osnma.osnma_core.receiver_state     | INFO     | Public Key 1 read. Start status WARM_START

2023-10-23 10:27:25,282 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216600 SVID 24 ---
2023-10-23 10:27:25,283 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,284 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216600 SVID 12 ---
2023-10-23 10:27:25,284 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,285 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216600 SVID 31 ---
2023-10-23 10:27:25,286 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,301 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216630 SVID 24 ---
2023-10-23 10:27:25,303 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,304 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216630 SVID 12 ---
2023-10-23 10:27:25,305 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,306 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216630 SVID 31 ---
2023-10-23 10:27:25,306 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,307 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216630 SVID 25 ---
2023-10-23 10:27:25,308 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,331 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216660 SVID 24 ---
2023-10-23 10:27:25,332 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,334 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216660 SVID 12 ---
2023-10-23 10:27:25,334 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,335 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216660 SVID 31 ---
2023-10-23 10:27:25,336 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,337 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216660 SVID 25 ---
2023-10-23 10:27:25,338 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,357 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216690 SVID 24 ---
2023-10-23 10:27:25,357 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,360 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216690 SVID 12 ---
2023-10-23 10:27:25,361 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,363 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216690 SVID 31 ---
2023-10-23 10:27:25,364 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,378 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216720 SVID 24 ---
2023-10-23 10:27:25,380 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,382 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216720 SVID 12 ---
2023-10-23 10:27:25,382 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,383 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216720 SVID 31 ---
2023-10-23 10:27:25,384 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,401 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216750 SVID 24 ---
2023-10-23 10:27:25,401 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,401 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216750 SVID 12 ---
2023-10-23 10:27:25,401 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,405 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216750 SVID 31 ---
2023-10-23 10:27:25,405 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,405 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216750 SVID 25 ---
2023-10-23 10:27:25,406 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,429 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216780 SVID 24 ---
2023-10-23 10:27:25,431 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,432 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216780 SVID 12 ---
2023-10-23 10:27:25,433 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,433 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216780 SVID 31 ---
2023-10-23 10:27:25,434 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,446 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216810 SVID 24 ---
2023-10-23 10:27:25,448 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,449 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216810 SVID 12 ---
2023-10-23 10:27:25,450 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,465 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216840 SVID 24 ---
2023-10-23 10:27:25,467 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,468 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216840 SVID 12 ---
2023-10-23 10:27:25,469 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,486 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216870 SVID 24 ---
2023-10-23 10:27:25,487 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,488 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216870 SVID 12 ---
2023-10-23 10:27:25,489 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,503 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216900 SVID 24 ---
2023-10-23 10:27:25,504 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,505 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216900 SVID 12 ---
2023-10-23 10:27:25,506 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,516 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216930 SVID 24 ---
2023-10-23 10:27:25,517 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,518 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216930 SVID 12 ---
2023-10-23 10:27:25,519 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,519 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216930 SVID 31 ---
2023-10-23 10:27:25,520 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,531 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216960 SVID 24 ---
2023-10-23 10:27:25,532 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,534 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216960 SVID 31 ---
2023-10-23 10:27:25,535 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,535 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216960 SVID 12 ---
2023-10-23 10:27:25,536 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,547 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216990 SVID 24 ---
2023-10-23 10:27:25,548 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,549 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216990 SVID 31 ---
2023-10-23 10:27:25,550 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,551 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 216990 SVID 12 ---
2023-10-23 10:27:25,551 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,561 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217020 SVID 24 ---
2023-10-23 10:27:25,563 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,566 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217020 SVID 31 ---
2023-10-23 10:27:25,566 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,579 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217050 SVID 24 ---
2023-10-23 10:27:25,580 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,582 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217050 SVID 31 ---
2023-10-23 10:27:25,582 | osnma.receiver.receiver             | INFO     | No OSNMA data.
